"subbasin","opcat_id","opcat_name"
5864,3309,"Middle and Lower Ure"
5865,3283,"Lower Swale"
5866,3309,"Middle and Lower Ure"
5867,3489,"Upper Derwent Yorkshire"
5868,3387,"Rye"
5869,3387,"Rye"
5870,3497,"Upper Nidd"
5871,3309,"Middle and Lower Ure"
5872,3309,"Middle and Lower Ure"
5873,3489,"Upper Derwent Yorkshire"
5874,3387,"Rye"
5875,3505,"Upper Ure"
5876,3387,"Rye"
5877,3489,"Upper Derwent Yorkshire"
5878,3505,"Upper Ure"
5879,3387,"Rye"
5880,3489,"Upper Derwent Yorkshire"
5881,3497,"Upper Nidd"
5882,3387,"Rye"
5883,3489,"Upper Derwent Yorkshire"
5884,3489,"Upper Derwent Yorkshire"
5885,3507,"Upper Wharfe"
5886,3489,"Upper Derwent Yorkshire"
5887,3489,"Upper Derwent Yorkshire"
5888,3309,"Middle and Lower Ure"
5889,3497,"Upper Nidd"
5890,3283,"Lower Swale"
5891,3489,"Upper Derwent Yorkshire"
5892,3309,"Middle and Lower Ure"
5893,3497,"Upper Nidd"
5894,3489,"Upper Derwent Yorkshire"
5895,3489,"Upper Derwent Yorkshire"
5896,3489,"Upper Derwent Yorkshire"
5897,3507,"Upper Wharfe"
5898,3497,"Upper Nidd"
5899,3283,"Lower Swale"
5900,3387,"Rye"
5901,3507,"Upper Wharfe"
5902,3387,"Rye"
5903,3497,"Upper Nidd"
5904,3497,"Upper Nidd"
5905,3489,"Upper Derwent Yorkshire"
5906,3387,"Rye"
5907,3489,"Upper Derwent Yorkshire"
5908,3387,"Rye"
5909,3309,"Middle and Lower Ure"
5910,3387,"Rye"
5911,3309,"Middle and Lower Ure"
5912,3283,"Lower Swale"
5913,3387,"Rye"
5914,3489,"Upper Derwent Yorkshire"
5915,3497,"Upper Nidd"
5916,3489,"Upper Derwent Yorkshire"
5917,3497,"Upper Nidd"
5918,3497,"Upper Nidd"
5919,3387,"Rye"
5920,3309,"Middle and Lower Ure"
5921,3489,"Upper Derwent Yorkshire"
5922,3387,"Rye"
5923,3489,"Upper Derwent Yorkshire"
5924,3387,"Rye"
5925,3387,"Rye"
5926,3283,"Lower Swale"
5927,3387,"Rye"
5928,3507,"Upper Wharfe"
5929,3309,"Middle and Lower Ure"
5930,3309,"Middle and Lower Ure"
5931,3283,"Lower Swale"
5932,3387,"Rye"
5933,3489,"Upper Derwent Yorkshire"
5934,3283,"Lower Swale"
5935,3387,"Rye"
5936,3507,"Upper Wharfe"
5937,3387,"Rye"
5938,3387,"Rye"
5939,3497,"Upper Nidd"
5940,3507,"Upper Wharfe"
5941,3309,"Middle and Lower Ure"
5942,3497,"Upper Nidd"
5943,3489,"Upper Derwent Yorkshire"
5944,3283,"Lower Swale"
5945,3387,"Rye"
5946,3387,"Rye"
5947,3489,"Upper Derwent Yorkshire"
5948,3309,"Middle and Lower Ure"
5949,3309,"Middle and Lower Ure"
5950,3309,"Middle and Lower Ure"
5951,3283,"Lower Swale"
5952,3283,"Lower Swale"
5953,3387,"Rye"
5954,3505,"Upper Ure"
5955,3497,"Upper Nidd"
5956,3507,"Upper Wharfe"
5957,3283,"Lower Swale"
5958,3505,"Upper Ure"
5959,3387,"Rye"
5960,3497,"Upper Nidd"
5961,3283,"Lower Swale"
5962,3507,"Upper Wharfe"
5963,3507,"Upper Wharfe"
5964,3283,"Lower Swale"
